Date,Open,High,Low,Close
2019-06-18,30358.95,30358.95,30351,30351
2019-06-19,30400.15,30400.15,30362.1,30362.1
2019-06-20,30784.5,30789.1,30781.1,30781.1
2019-06-21,30625.9,30628.35,30625.9,30628.35
2019-06-24,30618.15,30618.15,30599.65,30602.05
2019-06-25,30811.8,30847.05,30811.8,30847.05
2019-06-26,31127.25,31162.35,31127.25,31162.35
2019-06-27,31238.25,31269.9,31238.25,31269.5
2019-06-28,31120.45,31122.05,31105.2,31105.2
2019-07-01,31359.05,31372.2,31359.05,31372.2
2019-07-02,31269.05,31283.3,31269.05,31283.3
2019-07-03,31374.85,31382.3,31374.85,31382.3
2019-07-04,31442.65,31475.7,31442.65,31471.85
2019-07-05,31433.55,31475.8,31433.55,31475.8
2019-07-08,30641.55,30641.55,30603.85,30603.85
2019-07-09,30568.1,30576.4,30568.1,30569.15
2019-07-10,30523.8,30526.85,30522.1,30522.1
2019-07-11,30691,30718.3,30691,30716.55
2019-07-12,30591,30601.45,30591,30601.45
2019-07-15,30462.5,30462.5,30445.95,30445.95
2019-07-16,30588.65,30588.65,30570.8,30570.8
2019-07-17,30768.85,30768.85,30735.5,30735.5
2019-07-18,30448.85,30448.85,30430.6,30430.6
2019-07-19,29814.75,29814.75,29770.35,29770.35
2019-07-22,29283.8,29285.2,29283.8,29284.95
2019-07-23,29124.35,29128.1,29124.35,29128.1
2019-07-24,28951.4,28955,28951.4,28952.25
2019-07-25,29095.85,29095.85,29043.05,29043.05
2019-07-26,29367.6,29367.6,29323.25,29325.3
2019-07-29,29296.65,29296.65,29288.55,29295.9
2019-07-30,28784.25,28791.6,28784.25,28791.6
2019-07-31,28873.45,28876,28873.45,28876
2019-08-01,28411.85,28411.85,28367.25,28367.25
2019-08-02,28219.15,28219.15,28190.25,28204.95
2019-08-05,27633.15,27648.05,27633.15,27648.05
2019-08-06,27997.75,28023,27997.75,28022.1
2019-08-07,27665.1,27702.05,27665.1,27702.05
2019-08-08,28192.45,28192.45,28110.45,28110.45
2019-08-09,28464.05,28464.05,28431.9,28431.9
2019-08-13,27735.1,27735.1,27723.5,27729.1
2019-08-14,27987.15,28019.2,27987.15,28019.2
2019-08-16,28189,28217,28189,28217
2019-08-19,28198.6,28198.6,28180.25,28186.1
2019-08-20,28001.25,28001.25,27982.45,27982.45
2019-08-21,27711.7,27719.05,27711.7,27719.05
2019-08-22,27053.6,27053.6,27034.2,27034.2
2019-08-23,26981.55,26981.55,26958.65,26958.65
2019-08-26,27968.4,27968.4,27941.15,27951.35
2019-08-27,28133.75,28133.75,28126.15,28126.15
2019-08-28,27787.9,27812.05,27787.9,27804.3
2019-08-29,27315.75,27315.75,27305.2,27305.2
2019-08-30,27476.8,27476.8,27427.5,27427.85
2019-09-03,26824.15,26824.15,26824.15,26824.15
2019-09-04,27097.45,27123.85,27097.45,27123.85
2019-09-05,26901,26919.7,26901,26919.7
2019-09-06,27234.4,27249.85,27234.4,27247.9
2019-09-09,27490.85,27504.65,27490.85,27504.65
2019-09-11,27720.55,27776.2,27720.55,27776.2
2019-09-12,27791.15,27818.5,27791.15,27818.5
2019-09-13,28107.1,28107.1,28096.7,28098.75
2019-09-16,27840,27855,27840,27855
2019-09-17,27158.3,27158.3,27131.75,27131.75
2019-09-18,27173.5,27173.75,27172.65,27172.65
